
POL,8,9
ROU,9,18
RUS,73,58
SLO,6,11
SRB,63,25
SUI,86,18
SVK,22,19
SWE,20,23
THA,6,7
TPE,8,13
USA,127,122
BEL,16,37
FIN,13,11
KOR,1,5
MAR,4,2
POR,4,7
UKR,13,14
MON,2,3
RSA,11,11
BRA,8,19
COL,10,12
BUL,6,4
BIH,7,5
UZB,7,9
KAZ,9,14
ARM,2,2
ECU,2,4
BLR,3,4
PER,2,6
TUR,1,2
IND,1,3
IRL,1,1
